"dates","titles","end_price","start_price","high_price","low_price","amount"
"2012-12-27",NA,173500,174000,174000,171500,162714
"2012-12-28",NA,174000,173000,176000,172500,250161
"2013-01-02",NA,179000,177000,181000,176500,473888
"2013-01-03",NA,182000,179500,183500,179500,441063
"2013-01-04",NA,182000,182500,182500,180000,223236
"2013-01-07",NA,178500,181500,181500,176000,366858
"2013-01-08",NA,174500,176500,177500,172500,439837
"2013-01-09",NA,171000,174500,175000,171000,336580
"2013-01-10",NA,171000,170500,173000,168500,472122
"2013-01-11",NA,169000,172500,173500,167500,374552
"2013-01-14",NA,165500,167500,169000,163500,520433
"2013-01-15",NA,163000,164500,168000,162000,443583
"2013-01-16",NA,164500,163000,167000,163000,261162
"2013-01-17",NA,164500,165000,166000,163500,186731
"2013-01-18","SK이노베이션, 조직개편 및 임원인사 단행",164000,167000,167500,163000,320342
"2013-01-21","SK이노베이션, 글로벌 전기차 시장 공략에 닻을 올리다",169000,165000,171000,165000,498215
"2013-01-22",NA,166000,168000,168500,165500,404994
"2013-01-23",NA,168500,168000,171000,167500,372193
"2013-01-24",NA,170000,168500,171000,167500,361664
"2013-01-25",NA,169500,171000,172000,168500,329606
"2013-01-28",NA,171500,171000,172000,169500,265542
"2013-01-29",NA,172000,171000,172500,169000,186187
"2013-01-30",NA,172500,172000,174000,171000,252858
"2013-01-31",NA,171500,172500,173500,169500,242604
"2013-02-01","SK이노베이션, 2012년 매출 73조 3,304억원, 영업이익 1조 6,911억원",168500,169000,171500,166000,420955
"2013-02-04",NA,168500,170500,172000,168500,171227
"2013-02-05",NA,170500,169000,171000,168000,248095
"2013-02-06",NA,168000,170500,171500,167000,241501
"2013-02-07",NA,166000,166500,169500,166000,273359
"2013-02-08",NA,168000,166000,170500,166000,264465
"2013-02-12",NA,169500,168000,171000,167000,247325
"2013-02-13",NA,177000,170000,177000,170000,797776
"2013-02-14",NA,178000,177000,180000,176500,532685
"2013-02-15",NA,177000,178500,178500,176500,183011
"2013-02-18",NA,177000,178000,178500,174000,264890
"2013-02-19",NA,177500,177000,180500,176500,243462
"2013-02-20",NA,179000,179000,180500,178000,374739
"2013-02-21",NA,176500,178000,178500,175000,377027
"2013-02-22","SK이노베이션, 신입사원부터 행복나눔 전도사로",177000,175000,178500,175000,194329
"2013-02-25",NA,176500,176500,178000,176500,146747
