"news_dates","headlines"
"2020. 5. 5.","SK이노베이션 ""2분기 정제공장 15만배럴 가동 줄일 계획"""
"2020. 5. 14.","[강세 토픽] 화학 - 정유 테마, S-Oil +4.37%, SK이노베이션 +2.56%"
"2020. 5. 29.","""SK이노베이션, 하반기 본업 회복 기대"""
"2020. 5. 5.","[종합] ""사상 최악 경영환경""…SK이노베이션, 1Q 영업적자 1.78조"
"2020. 5. 5.","SK이노베이션 “원유정제, 2분기에는 15만 배럴 감산”"
"4시간 전","[그린뉴딜 관련주] 그린뉴딜 추진에 LG화학, 삼성SDI, SK ..."
"2020. 5. 29.","폭스바겐 전기차 배터리 수주, LG·삼성·SK·CATL 4파전"
"2020. 5. 5.","[포토] 코로나 쇼크…최악 실적 기록한 SK이노베이션"
"2020. 5. 18.","SK 목표주가 낮아져, ""자회사 SK이노베이션 보유지분 가치 하락"""
"11시간 전","[TF특징주] 국제유가 상승에 SK이노·에쓰오일 등 정유株 '강세'"
"6시간 전","LG화학, 전기차 배터리 신소재 'NCM712' 접목"
"2020. 5. 25.","SK이노베이션, 전일대비 +5.19%... 기관 30000주 순매수 중"
"2020. 5. 5.","SK이노베이션, 언택트 '독거노인 행복나눔 사랑잇기' 봉사 실시"
"2020. 5. 25.","SK이노베이션·S-OIL, 정유주 상승에 급등까지…특히 SK ..."
"2020. 5. 31.","'脫석유화학' 롯데케미칼…신사업 M&A 나선다"
"2020. 5. 10.","'동학개미' 50일… 순매수 1위 삼성전자, 수익률은 SK이노가 1등"
"6시간 전","""35조 ESS 시장 잡아라""…화학계열 둔 대기업 '올인'"
"4시간 전","'애물단지' 플라스틱의 변신"
"2020. 5. 14.","亞서도 WTI 유가 상승 속...SK이노베이션 등 정유주, '장중 강세'"
"16시간 전","'5일 근무 중 하루는 집에서' 기업 재택근무 확산"
"2020. 5. 15.","[기자수첩]삼성-현대차 손잡는데...LG화학-SK이노는 아직도 ..."
"2020. 5. 25.","삼성SDI '젠5'로 車배터리 톱3 노린다"
"6시간 전","2차 전지 소재 생산기업 엔켐, 전문경영인 영입 …연내 IPO 목표"
"7시간 전","정유업계 20년 만의 지각변동...현대오일뱅크, 2위로"
"2020. 5. 26.","[주식] SK이노베이션(+4.96%) 주가 급등... 하반기 실적 개선 ..."
"2020. 5. 28.","LG Chem picked as battery supplier for Hyundai Motor electric ..."
"6시간 전","코스피, 3개월만에 2060선 탈환…코스닥 3% 급등"
"2020. 5. 2.","SK이노베이션, 구성원 역량 강화는 어려워도 필수…언택트로 ..."
"2020. 5. 18.","WTI 등 국제유가 '연일 급등'...SK이노베이션 등 정유주, 장중 '급등'"
"8시간 전","2차전지 소재 '엔켐' 김경훈 신임 사장 내정"
"5시간 전","KOSPI 200 Closing Price List(마감현황)... 1.82% ↑"
"14시간 전","원격근무 이론과 실무 한 자리서 끝낼 기회"
"7시간 전","재계 달구는 최태원의 '포스트 코로나' 선도 전략"
"2020. 5. 29.","'또 한번의 디지털 콘택트 실험' 주말 삼성 온라인 시험"
"2020. 5. 30.","'사면초가' 최태원 SK회장 왜?...사상 최대 1조원대 이혼소송에다 ..."
"10시간 전","오전장  테마동향"
"2020. 5. 28.","판 커지는 전기차 배터리… 국내 3사 '영토확장' 가속"
"12시간 전","[특징주] 정유주, 국제유가 상승에 강세"
"2020. 5. 30.","한번 충전에 800km… LG·삼성에 '괴물 배터리'가 자라고 있다"
"2020. 5. 27.","포스코 vs. 에코프로…배터리 핵심소재 '전구체' 확보 경쟁"
"16시간 전","SKT '거점 오피스' 한국형 오피스 프리 모델 되나"
"2020. 5. 18.","최태원 SK그룹 회장, '포스트 코로나' 시대 대비 자율차·바이오에 ..."
"2020. 5. 25.","질주하는 카카오·네이버… 주도 업종 신구 교체 본격화"
"17시간 전","재택근무만큼 늘어난 카톡 지시···'직장 내 괴롭힘' 여기있네"
"5시간 전","""트럼프發 훈풍""...한국증시 '급등' & 반도체 · 車 · 조선 '껑충'"
"4시간 전","'급등유력' 테마주 총정리"
"2020. 5. 18.","태양광 이어 또 한 번의 친환경 프로젝트 나선 '한화솔루션'"
"4시간 전","SK하이닉스와 거래로 성장한 오션브릿지, SK텔레콤 품으로"
"2020. 5. 29.","코로나19에도 열리는 취업시장...삼성·SK·현대차·LG·롯데·CJ 등 ..."
"2020. 5. 30.","[이번주 추천주] 현대차·더존비즈온 등 실적개선 기대"
"2020. 5. 30.","베이징차, 프리미엄 EV 공개하고 한국도 저울질"
"8시간 전","홍콩보안법發 '美中분쟁' 재점화…노심초사하는 정유4사 왜?"
"2020. 4. 20.","SK이노베이션 배터리, 中 프리미엄 전기차에 탑재"
"2020. 5. 31.","SKT, 사회적 가치 1.8조 창출..“3년차 되니 안착했어요”"
"5시간 전","[0601 마감체크] 개인과 메이저의 엇갈린 선택"
"2020. 5. 31.","국제유가 반등에 1100원대 휘발유 '안녕'···정유사들 울상, 왜"
"8시간 전","삼성 ""첫 온라인 공채 성공적""…'언택트 시대' 뉴 노멀 될까"
"2020. 1. 30.","SK이노베이션, 석유화학 부진에 작년 영업이익 40% 감소"
"2020. 4. 18.","美 ITC, SK이노베이션 '영업비밀 침해' 조기패소 결정 재검토"
"2020. 5. 28.","소외주의 반격…은행·철강·반도체株 들썩"
"2020. 3. 26.","SK이노베이션, 반세기 만에 공장 불 끈다"
"1시간 전","[지령 9000호 특별기획] 코로나 이후 한국, 길을 묻다 8. 비대면 ..."
"2020. 4. 28.","SK이노베이션, 9000억원 투자해 美 배터리 생산시설 확대"
"2020. 2. 17.","SK이노베이션, 공장내 사무실 지어 무상으로 제공"
"2020. 2. 16.","SK이노베이션, LG화학 소송전에서 조기패소 결정에 약세"
"2020. 1. 5.","[CES 2020] SK이노베이션, 고객 혁신 'SK Inside' 선봬"
"2020. 2. 10.","SK이노베이션, 실적 악화로 '떠나는 외국인' 잡을까"
"2019. 12. 5.","SK이노베이션, 배터리 사업 강화…ESS 사업부 신설"
"2020. 1. 29.","SK이노베이션 김준 총괄 사장 인터뷰 전문"
"2020. 1. 27.","SK이노베이션 “친환경 배터리 산업 생태계 조성 동참”"
"2020. 3. 22.","미국 ITC “SK이노베이션 고의적 증거인멸·법정 모독”"
"2020. 4. 6.","SK이노베이션, 전기차 배터리 매출 2년 연속 두 배 '급성장'"
"2020. 1. 28.","김준 SK이노베이션 사장 ""배터리·소재 투자 확대"""
"7시간 전","""중동 신재생 특수 터졌다""…토종기업 오일머니 쟁탈전"
"2020. 4. 16.","무디스, SK이노베이션·SK종합화학 등급전망 '부정적'으로 하향 ..."
"2020. 3. 23.","SK이노베이션, 전기차 배터리로 성장동력 '충전'…작년 글로벌 ..."
"2020. 3. 26.","전기차 배터리를 미래 먹거리로… 한번 충전에 500   달리는 ..."
"2020. 4. 12.","SK이노베이션, 통합 서브 브랜드 'Hi !nnovation' 런칭"
"2020. 2. 17.","'정유침체·배터리 소송 패소'…SK이노베이션 겹악재"
"2020. 1. 31.","[컨콜] SK이노베이션 ""올해 배터리 매출 2조 목표"""
"2020. 1. 9.","[단독] SK이노베이션, 美 배터리 기지에 1조 투자…공장 하나 더 ..."
"2020. 3. 3.","SK이노베이션 노사 30분만에 임금협상 마무리"
"2020. 4. 19.","SK이노베이션, 디지털 전환으로 석유사업 '딥체인지' 가속"
"2020. 3. 22.","SK이노베이션, 신입사원 필기전형 온라인 진행"
"2020. 2. 3.","'배터리 러시' SK이노베이션, 성장통 언제까지?"
"2020. 1. 17.","SK이노베이션을 글로벌 배터리 업체로… '미 조지아 배터리 공장'"
"2019. 12. 31.","김준 SK이노베이션 사장, 새해 첫날 현장서 ""회사 성장·행복 추구 ..."
"2020. 1. 28.","SK이노베이션, ""고객 행복에서 지속가능성 찾겠다"""
"2020. 2. 10.","S&P, SK이노베이션 신용등급 전망 '부정적' 하향…""차입금 증가"""
"2020. 2. 9.","SK이노베이션, 전기차 배터리 톱10 첫 진입"
"2019. 12. 29.","실적하향 전망에도...주가 반등한 SK이노베이션"
"2020. 4. 16.","배터리 소송전에 협력사들 떤다…SK이노 '1조원 합의' 의사 내비쳐"
"2020. 2. 3.","에코프로비엠, SK이노베이션에 2조7000억원 규모 양극재 공급 ..."
"12시간 전","'직장인은 우울하다'...LG전자 심리상담실 운영, 삼성전자 정신과 ..."
"2020. 1. 2.","SK이노베이션 전기차 패키지 'SK 인사이드' CES서 첫 공개"
"2020. 4. 15.","SK이노베이션, 친환경 윤활유 출시"
"2020. 2. 12.","헝가리 공장 찾은 SK이노 배터리 대표 ""유럽시장 공략"""
"2020. 1. 7.","SK이노베이션, CES에서 E-모빌리티 혁신성장 방향 찾는다"
"2020. 3. 29.","SK이노베이션, 탈황설비 본격 가동"
"2020. 1. 25.","LG화학-SK이노베이션, 전기차 배터리 '세계대전'"
"2020. 3. 26.","SK이노베이션, 정유·배터리 이중고…위기 돌파 전략은"
"2020. 3. 29.","SK이노베이션 목표주가 낮아져, ""유가 급락과 코로나19로 실적 ..."
"2019. 11. 27.","SK이노베이션, 배터리 노칭 장비 조달처 다변화 추진"
"2020. 2. 14.","SK이노베이션, 기본급 300% '특별격려금' 지급"
"2020. 1. 14.","SK이노베이션, 전기차 배터리 출하량 3배 '급성장'"
"2019. 12. 3.","SK이노베이션, 1조2000억원 규모 中 배터리 공장 '증설'…창 ..."
"2020. 1. 15.","최태원, SK이노 美 배터리 공장 추가투자 검토"
"2019. 12. 3.","SK이노베이션, 전기차 300만대 생산 가능한 코발트 확보"
"2019. 10. 30.","SK이노베이션, 유가 하락에 실적 '악화'…배터리, 적자 속 '반등 ..."
"2020. 4. 5.","[아이넷 AI 로봇 기자] SK이노베이션, 'Capa 1위 정유사의 저력 ..."
"2020. 4. 1.","[강세 토픽] 화학 - 정유 테마, S-Oil +8.73%, SK이노베이션 +3.64%"
"2019. 11. 16.","Sk이노베이션, 베트남 안빈섬을 '탄소제로'로 만든다"
"2019. 11. 18.","[영상] SK이노베이션과 첫 거래 텄다 중국 최대 배터리 장비 업체 ..."
"2020. 3. 25.","SK이노베이션 주식 매수의견 제시, “정유사업 실적 하반기 대폭 ..."
"2020. 2. 10.","미리 보는 SK이노베이션의 2020년, SK인천석유화학 최윤석 ..."
"2020. 2. 24.","우위 점한 LG화학…SK이노베이션 화해 손 내미나"
"2020. 2. 24.","[Business Inside] SK이노베이션, LG화학에 합의금 5000억원?"
"2020. 2. 25.","SK이노베이션 경영진 올해의 키워드는 '행복·구성원'"
"2020. 4. 5.","SK이노베이션 목표주가 낮아져, “원유 재고 평가손실 2분기도 ..."
"2020. 1. 4.","SK이노베이션, 기본급 1% 기부로 사회공헌기금 100억 돌파"
"2020. 1. 22.","SK이노베이션, 친환경 파력발전 기업 '인진'에 25억원 투자"
"2020. 1. 22.","SK이노베이션, 인진에 25억 원 투자…친환경에너지 산업 육성 ..."
"2020. 2. 11.","소송 전면전 이어 수주 전쟁...LG화학 vs SK이노베이션 배터리 ..."
"2020. 3. 17.","[영상] 덕산테코피아 SK이노베이션 전해질 첨가제 공동 개발 왜"
"2019. 12. 20.","'집토끼' 잡은 SK이노베이션, '산토끼' 잡은 LG화학"
"2020. 2. 2.","SK이노베이션 주식 매수의견 유지, ""배터리소재 가파른 성장세"""
"2020. 2. 3.","SK이노베이션, 배터리 원재료 '윤리적 공급망' 강화"
"2020. 1. 27.","SK이노베이션, '세계 배터리산업 연맹(GBA)' 가입"
"2020. 3. 6.","SK이노베이션 목표주가 하향, ""유가 급락해 1분기 수천억 재고 ..."
"2019. 12. 23.","SK이노베이션, 공격 투자에 재무안전성 '경고등'"
"2019. 8. 11.","정유업계 맏형 SK이노베이션 실적 불안-배터리 적자 눈덩이 ..."
"2020. 1. 14.","SK이노베이션 목표주가 낮아져, ""정제마진 약세와 화학사업 부진"""
"2019. 11. 10.","SK이노베이션, 전기차 배터리 핵심장비 중국 업체로 낙점"
"2020. 1. 26.","SK이노베이션 ""지속 가능한 배터리 산업 생태계 만든다"""
"2020. 2. 3.","5800억 자사주 매입에도 주가는 글쎄…SK이노베이션 부양책 ..."
"2020. 2. 25.","[Hot-Line] ""SK이노베이션, 단기 실적 부진 불가피"""
"2020. 3. 23.","[아이넷 AI 로봇 기자] 증권사 리포트 총정리, SK이노베이션 ..."
"2019. 12. 2.","S&P, SK이노베이션 신용등급 BBB+에서 BBB로 하향 조정"
"2019. 10. 21.","기름 공장에 닥친 '디지털화'의 고민 feat. SK이노베이션"
"2020. 2. 2.","LG화학·SK이노베이션·삼성SDI, 질주하는 전기차 배터리 3社 ..."
"2020. 3. 11.","SK이노베이션, 면접 대신 화상 면접"
"2020. 1. 15.","[산업 프리즘] LG화학-SK이노베이션 배터리 소송전, 삼성-애플 ..."
"2020. 2. 28.","유화공장 산업폐기물을 시멘트로…SK이노베이션 재활용 성공"
"2020. 2. 1.","[정유사 2019 실적] SK이노베이션, 영업이익 40% 감소"
"2020. 1. 12.","SK이노베이션, 협력사에 상생기금 30억원 전달"
"2020. 1. 20.","제2 창립 나서는 SK이노베이션, 올해 전략은?"
"2020. 1. 31.","SK이노베이션, 5785억 규모 자사주 매입"
"2020. 3. 19.","SK이노베이션 IP전략실 경력사원 채용(특허분야)"
"2019. 12. 8.","LG화학 vs. SK이노…美전기트럭 배터리 두고 한판 붙는다"
"2020. 2. 25.","SK이노베이션 김준 사장, 배터리 소송 조기패소에 골머리 앓는 ..."
"2019. 12. 4.","""SK이노베이션 주가 오를 힘 다져"", 정제마진 개선돼 배터리 ..."
"2019. 9. 27.","SK이노, 연간 1000억 영업익 '페루광구' 매각한다"
"2020. 1. 26.","SK이노베이션, 엔젤투자로 꿈꾸는 '친환경' 미래"
"2019. 11. 26.","美 ITC 조사국 ""SK이노베이션 조기패소 판결 적절"" 의견"
"2020. 3. 2.","SK이노베이션, 美 ITC에 조기 패소 이의 신청"
"2020. 3. 25.","SK이노베이션 김준 사장, ""차별화된 DNA로 위기상황 극복해야"""
"2020. 4. 21.","SK이노베이션, 저유가·석유수요급감에 실적 부진 불가피-신한금투"
"2019. 9. 16.","경찰 압수수색으로 번진 LG화학-SK이노베이션 '기술유출' 소송전"
"2020. 3. 6.","SK이노베이션, 헝가리 전기차 배터리 1공장 양산 돌입"
"2020. 3. 29.","[사설] SK이노베이션의 배터리기술 재판 패소"
"2020. 2. 18.","배터리 소송, 칼자루 쥔 LG화학...'SK이노베이션 보상액수 주목'"
"2019. 12. 11.","'배터리 소송戰' LG화학·SK이노베이션, 투자 경쟁도 치열"
"2020. 2. 4.","[강세 토픽] 2차전지 - 배터리 생산 테마, SK이노베이션 +4.69 ..."
"2019. 10. 29.","LG화학-SK이노베이션 소송전 여전히 '평행선'…극적 합의 ..."
"2019. 8. 21.","SK이노베이션 CEO 유튜브 총출동…'B급 어색 연기' 나선 이유"
"2019. 10. 22.","SK이노베이션 ""LG화학, 합의 파기"" 국내 법원에 추가 소송"
"2020. 2. 27.","SK이노베이션, SK그룹 교육 플랫폼 맡는다"
"2020. 1. 22.","에코프로비엠, SK이노 양극재 공급 늘자 별도 공장 건설 계획"
"2019. 11. 12.","SK이노베이션·GS칼텍스 '의미없는 1등 경쟁'"
"2020. 1. 29.","[단독]美 ITC 불공정수입조사국, SK 요청 '기각' 입장 재판부에 전달"
"2020. 2. 10.","[강세 토픽] 화학 - 정유 테마, SK이노베이션 +2.93%, GS +2.19%"
"2019. 6. 27.","김준 SK이노베이션 사장, 에너지·화학서도 '딥 체인지'…전기차 ..."
"2019. 10. 30.","SK이노, 내년초 중국·헝가리 공장 양산…배터리 생산량 3배 확대"
"2020. 2. 16.","'고맙다! SK이노' 엠플러스 배터리 장비 신규수주 2년새 두 배"
"2019. 9. 5.","SK이노베이션, 美서 LG화학 제소…배터리 전쟁 2라운드 시작"
"2019. 10. 13.","SK이노베이션, 유튜브 컨텐츠 'SK이노맨' 시리즈 38만건 돌파"
"2020. 3. 9.","SK이노베이션, ITC 이의제기하며 ""조기패소 결정은 '본말전도'"""
"9시간 전","SK매직, SK텔레콤 T월드 매장에 가전제품 브랜드 체험공간 열어"
"2020. 4. 29.","'동박 1위' KCFT, SK넥실리스로 재탄생…SK이노 지원사격"
